id,Material,Item,Brand,Notes
2100765,Metal ,Bottle Cap,Boing,
2100731,Plastic,Tape,Christy's,
2100691,Paper,Gum Wrapper,Dentyne,
2100710,Glass,Bottle,Dos Equis,
2100763,Paper,Label,Home Depot,
2100666,Plastic,Sprinkler head,Hunter,
2100667,Plastic,Sprinkler head,Hunter,
2100723,Plastic,Gum Wrapper,Juicy Fruit,
2100699,Plastic,Food Wrapper,Kit-Kat,
2100665,Paper,Newspaper,Los Angeles Times,
2100830,Plastic,Cigaette,Marlboro,
2100708,Plastic,Cigarette,Marlboro,
2100715,Plastic,Cigarette,Marlboro,
2100808,Plastic,Cigarette,Marlboro,
2100811,Plastic,Cigarette,Marlboro,
2100817,Plastic,Cigarette,Marlboro,
2100818,Plastic,Cigarette,Marlboro,
2100819,Plastic,Cigarette,Marlboro,
2100821,Plastic,Cigarette,Marlboro,
2100747,Plastic,Tobacco Packaging,Marlboro,
2100745,Plastic,Tobacco Packaging,Rooster,
2116258,Plastic,Food Wrapper,Snickers,
2100730,Metal,Bottle Cap,Stella Artois,
2100743,Metal,Beverage Can,The Club,
2100781,Plastic,Food Wrapper,Twizzlers,
2100711,Plastic,Cigarette,Winston,
2100799,Plastic,Ball,,
2100738,Rubber,Ball,,
2100740,Glass,Bottle,,
2100703,Plastic,Bottle Cap,,
2100728,Plastic,Bottle Cap,,
2100729,Plastic,CD Case,,
2100672,Plastic,Cigarette,,
2100680,Plastic,Cigarette,,
2100704,Plastic,Cigarette,,
2100709,Plastic,Cigarette,,
2100716,Plastic,Cigarette,,
2100717,Plastic,Cigarette,,
2100718,Plastic,Cigarette,,
2100719,Plastic,Cigarette,,
2100724,Plastic,Cigarette,,
2100816,Plastic,Cigarette,,
2100722,Plastic,Food Wrapper,,
2100725,Plastic,Grocery Bag,,
2100662,Paper,Gum Wrapper,,
2100697,Paper,Gum Wrapper,,
2116259,Paper,Gum Wrapper,,
2100705,Plastic,Lid,,
2100663,Paper,Newspaper,,
2100707,Paper,Newspaper,,
2100721,Paper,Newspaper,,
2100837,Paper,Newspaper,,
2100737,Paper,Nonfood Wrapper,,
2100714,Plastic,Other Toys,,
2100758,Paper,Paper Bag,,
2100735,Food,Peanut Shells,,
2100720,Metal,Pipe,,
2100825,Plasitc,Pipe,,
2100732,Plastic,Pipe,,
2100823,Plastic,Pipe,,
2100733,Cloth,Rag,,
2100727,Plastic,Safety Cone,,
2100736,Plastic,Sprinkler,,
2100726,Plastic,Straw,,
2100751,Plastic,Straw,,
2100841,Paper,Tag,,
2100660,Paper,Ticket,,
2100752,Plastic,Toothbrush,,
2100664,Plastic,Tubing,,
2100681,Paper,Unknown Wrapper,,
2100827,Glass,,,
2100771,Paper,,,
2100750,Plastic,,,
